Category,Item,Description,Updated Price,Current Shop Price,Original price,Extra,30%,35%,40%,,Updated Website - Collection,Updated Website - Delivery,Current Website,,delivery,current delivery,Uber,,,,,,,,,,
,FLAKE PACK FOR THREE,"3 Flakes, 3 Potato Cakes, 3 Dim Sims, & Medium Chips",$42.00 ,,$14.96,,$44.88,$41.89,$37.40,,$46.20 ,$48.30 ,,46.2,$48.30 ,$0.00 ,$60.06 ,,,,,,,,,,
,PACK FOR 3,"3 Butter Fish, 3 Potato Cakes, 3 Dim Sims, & Medium Chips",$30.60 ,$42.00,$10.88,,$32.64,$30.46,$27.20,,$33.70 ,$35.20 ,42,33.66,$35.19 ,$48.30 ,$43.81 ,,,,,,,,,,
,FAMILY FLAKE PACK,"4 Flakes, 4 Potato Cakes, 4 Dim Sims, & Medium Chips",$53.40 ,$54.00,$19.02,,$57.06,$53.26,$47.55,,$58.80 ,$61.50 ,57,58.74,$61.41 ,$62.10 ,$76.44 ,,,,,,,,,,
,FLATHEAD PACK,"6 Flathead Fillets, & Small Chips",$24.70 ,$22.00,$9.83,,$29.49,$27.52,$24.58,,$27.20 ,$28.50 ,24,27.17,$28.41 ,$25.30 ,$35.36 ,,,,,,,,,,
,VALUE PACK,"Basa Fish Fillet, & Half Chips",$4.40 ,$9.95,$1.52,,$5.06,$4.26,$3.80,,$4.90 ,$5.10 ,6.6,4.84,$5.06 ,$11.44 ,$6.37 ,,,,,,,,,,
,VEGIE PACK,"1 Vegie Dim Sim, 1 Vegie Patty, 3 Falafels, & Half Chips",$11.70 ,$12.95,$4.14,,$13.79,$11.59,$10.35,,$12.90 ,$13.50 ,15,12.87,$13.46 ,$14.89 ,$16.77 ,,,,,,,,,,
,DIM & CAKE PACK,"2 Potato Cakes, 2 Dim Sims, & Small Chips",$10.10 ,$11.50,$3.55,,$11.82,$9.94,$8.88,,$11.20 ,$11.70 ,12.7,11.11,$11.62 ,$13.23 ,$14.56 ,,,,,,,,,,
,PARTY PACK,"8 Potato Cakes, 8 Dim Sims, & Extra Large Chips",$32.90 ,$35.00,$11.70,,$38.96,$32.76,$29.25,,$36.20 ,$37.90 ,42,36.19,$37.84 ,$40.25 ,$47.06 ,,,,,,,,,,
,CALAMARI PACK,"4 Calamari, & Small Chips",$11.60 ,$11.00,$4.09,,$13.62,$11.45,$10.23,,$12.80 ,$13.40 ,12.2,12.76,$13.34 ,$12.65 ,$16.64 ,,,,,,,,,,
,SALT & PEPPER SQUID PACK,"8 Salt & Pepper Squids, & Small Chips",$16.20 ,$12.00,$5.75,,$14.38,$16.10,$14.38,,$17.90 ,$18.70 ,13.8,17.82,$18.63 ,$13.80 ,$23.27 ,,,,,,,,,,
,KIDS SNACK PACK,"2 Flathead Fillets, & Small Chips",$12.90 ,$11.00,$4.54,,$15.11,$12.70,$11.34,,$14.20 ,$14.90 ,12.2,14.19,$14.84 ,$12.65 ,$18.46 ,,,,,,,,,,
,KIDS PACK,"1 Fish Bite, 1 Potato Cake, 1 Dim Sim, & Half Chips",$9.50 ,$10.50,$3.33,,$11.07,$9.31,$8.31,,$10.50 ,$11.00 ,11,10.45,$10.93 ,$12.08 ,$13.65 ,,,,,,,,,,
,NUGGET N CHIP PACK,"4 Chicken Nuggets, & Chips",$4.80 ,$6.90,$1.67,,$5.55,$4.66,$4.17,,$5.30 ,$5.60 ,6.9,5.28,$5.52 ,$7.94 ,$6.89 ,,,,,,,,,,
